Statistical profiling result from infoConsoleProf.log, (14175 ticks, 26 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.1%  LazyCompile: *popAsyncContext node:internal/async_hooks:541:25
      1    0.0%    0.1%  LazyCompile: *nextTick node:internal/process/task_queues:104:18
      1    0.0%    0.1%  LazyCompile: *initAsyncResource node:internal/timers:157:27
      1    0.0%    0.1%  LazyCompile: *inflight /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/inflight/inflight.js:7:19
      1    0.0%    0.1%  LazyCompile: *id /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:44:12
      1    0.0%    0.1%  LazyCompile: *getHeader node:_http_outgoing:587:57
      1    0.0%    0.1%  LazyCompile: *getEncodingOps node:buffer:677:24
      1    0.0%    0.1%  LazyCompile: *get node:_http_incoming:108:16
      1    0.0%    0.1%  LazyCompile: *endReadable node:internal/streams/readable:1314:21
      1    0.0%    0.1%  LazyCompile: *emit node:events:343:44
      1    0.0%    0.1%  LazyCompile: *createNewLookupObject /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/internal/create-new-lookup-object.js:15:31
      1    0.0%    0.1%  LazyCompile: *compile /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:490:17
      1    0.0%    0.1%  LazyCompile: *basename node:path:1306:11
      1    0.0%    0.1%  LazyCompile: *appendToBuffer /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:42:42
      1    0.0%    0.1%  LazyCompile: *appendEscaped /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:416:40
      1    0.0%    0.1%  LazyCompile: *afterWriteTick node:internal/streams/writable:482:24
      1    0.0%    0.1%  LazyCompile: *_write node:internal/streams/writable:283:16
      1    0.0%    0.1%  LazyCompile: *SourceNode /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/source-map/lib/source-node.js:35:20
      1    0.0%    0.1%  LazyCompile: *SourceLocation /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:32:24
      1    0.0%    0.1%  LazyCompile: *MustacheStatement /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:215:48
      1    0.0%    0.1%  LazyCompile: *Module._resolveFilename node:internal/modules/cjs/loader:848:35
      1    0.0%    0.1%  LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
      1    0.0%    0.1%  LazyCompile: *Module._findPath node:internal/modules/cjs/loader:494:28
      1    0.0%    0.1%  LazyCompile: *Glob._readdir /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:523:36
      1    0.0%    0.1%  LazyCompile: *Glob._processReaddir2 /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:373:44
      1    0.0%    0.1%  LazyCompile: *Glob._processGlobStar2 /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:629:45
      1    0.0%    0.1%  LazyCompile: *ContentStatement /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:228:46
      1    0.0%    0.1%  LazyCompile: *<anonymous> /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:130:39
      1    0.0%    0.1%  LazyCompile: *<anonymous> /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express-handlebars/lib/express-handlebars.js:123:11

 [C++]:
   ticks  total  nonlib   name
    411    2.9%   22.4%  __pthread_cond_signal
    103    0.7%    5.6%  __write
     61    0.4%    3.3%  __GI___pthread_mutex_unlock
     60    0.4%    3.3%  __libc_write
