Statistical profiling result from infoProf.log, (12031 ticks, 35 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.1%  RegExp: ^(?:\{\{(~)?>)
      1    0.0%    0.1%  RegExp: ^(?:\{\{(~)?#>)
      1    0.0%    0.1%  RegExp: ^(?:\s+)
      1    0.0%    0.1%  RegExp: ^(?:\.\.)
      1    0.0%    0.1%  RegExp: ^(?:\))
      1    0.0%    0.1%  RegExp: ^(?:-?[0-9]+(?:\.[0-9]+)?(?=([~}\s)])))
      1    0.0%    0.1%  RegExp: [&<>"'`=]
      1    0.0%    0.1%  RegExp: (?:^|\/)\.?\.$
      1    0.0%    0.1%  LazyCompile: *toString node:buffer:781:46
      1    0.0%    0.1%  LazyCompile: *setupHelperArgs /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:1104:44
      1    0.0%    0.1%  LazyCompile: *restore /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express/lib/router/index.js:620:17
      1    0.0%    0.1%  LazyCompile: *readFileSync node:fs:447:22
      1    0.0%    0.1%  LazyCompile: *quotedString /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:118:38
      1    0.0%    0.1%  LazyCompile: *pushAsyncContext node:internal/async_hooks:527:26
      1    0.0%    0.1%  LazyCompile: *processImmediate node:internal/timers:421:28
      1    0.0%    0.1%  LazyCompile: *popStack /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:960:30
      1    0.0%    0.1%  LazyCompile: *normalizeEncoding node:internal/util:141:27
      1    0.0%    0.1%  LazyCompile: *nativeModuleRequire node:internal/bootstrap/loaders:332:29
      1    0.0%    0.1%  LazyCompile: *lookupProperty /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/runtime.js:118:44
      1    0.0%    0.1%  LazyCompile: *internalNameLookup /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:66:50
      1    0.0%    0.1%  LazyCompile: *hasHooks node:internal/async_hooks:458:18
      1    0.0%    0.1%  LazyCompile: *getEncodingOps node:buffer:677:24
      1    0.0%    0.1%  LazyCompile: *createUnsafeBuffer node:internal/buffer:1059:28
      1    0.0%    0.1%  LazyCompile: *createNewLookupObject /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/internal/create-new-lookup-object.js:15:31
      1    0.0%    0.1%  LazyCompile: *compileFunction node:vm:308:25
      1    0.0%    0.1%  LazyCompile: *basename node:path:1306:11
      1    0.0%    0.1%  LazyCompile: *appendToBuffer /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:42:42
      1    0.0%    0.1%  LazyCompile: *appendEscaped /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:416:40
      1    0.0%    0.1%  LazyCompile: *alignPool node:buffer:157:19
